Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen801
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen801
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen801:162898] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612558629.381319] [lassen801:162898:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen801:162898] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen801:162898] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.025, s0 -11.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 3.8068759989956474e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:330: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2.5e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2.5e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=4.3546 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.188
step.max=21 | t_sim.max=5.25e-06 | t_step.max=1.09507 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=945.562
step.max=22 | t_sim.max=5.5e-06 | t_step.max=1.11121 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=945.562
step.max=23 | t_sim.max=5.75e-06 | t_step.max=1.09644 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=948
step.max=24 | t_sim.max=6e-06 | t_step.max=1.10242 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=948
step.max=25 | t_sim.max=6.25e-06 | t_step.max=1.098 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=951.875
step.max=26 | t_sim.max=6.5e-06 | t_step.max=1.09516 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.786 | memory_usage.max=953.188
step.max=27 | t_sim.max=6.75e-06 | t_step.max=1.09547 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.819 | memory_usage.max=953.188
step.max=28 | t_sim.max=7e-06 | t_step.max=1.09495 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.87 | memory_usage.max=956.562
step.max=29 | t_sim.max=7.25e-06 | t_step.max=1.09475 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.936 | memory_usage.max=956.562
step.max=30 | t_sim.max=7.5e-06 | t_step.max=1.10166 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=450.018 | memory_usage.max=956.562
step.max=31 | t_sim.max=7.75e-06 | t_step.max=1.09771 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=450.113 | memory_usage.max=961.188
step.max=32 | t_sim.max=8e-06 | t_step.max=1.09469 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.224 | memory_usage.max=962.438
step.max=33 | t_sim.max=8.25e-06 | t_step.max=1.09459 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.344 | memory_usage.max=962.438
step.max=34 | t_sim.max=8.5e-06 | t_step.max=1.09463 | min_pressure=100 | max_pressure=437.893 | min_temperature=297.995 | max_temperature=450.473 | memory_usage.max=962.438
step.max=35 | t_sim.max=8.75e-06 | t_step.max=1.09509 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.616 | memory_usage.max=966.062
step.max=36 | t_sim.max=9e-06 | t_step.max=1.10271 | min_pressure=100 | max_pressure=437.893 | min_temperature=297.995 | max_temperature=450.762 | memory_usage.max=966.062
step.max=37 | t_sim.max=9.25e-06 | t_step.max=1.09794 | min_pressure=100 | max_pressure=437.894 | min_temperature=297.995 | max_temperature=450.918 | memory_usage.max=970.562
step.max=38 | t_sim.max=9.5e-06 | t_step.max=1.09535 | min_pressure=100 | max_pressure=437.895 | min_temperature=297.995 | max_temperature=451.086 | memory_usage.max=971.125
step.max=39 | t_sim.max=9.75e-06 | t_step.max=1.09581 | min_pressure=100 | max_pressure=437.899 | min_temperature=297.995 | max_temperature=451.247 | memory_usage.max=973.188
step.max=40 | t_sim.max=1e-05 | t_step.max=1.09523 | min_pressure=100 | max_pressure=437.985 | min_temperature=297.995 | max_temperature=451.429 | memory_usage.max=973.188
step.max=41 | t_sim.max=1.025e-05 | t_step.max=1.10268 | min_pressure=100 | max_pressure=438.13 | min_temperature=297.995 | max_temperature=451.614 | memory_usage.max=973.188
step.max=42 | t_sim.max=1.05e-05 | t_step.max=1.09775 | min_pressure=100 | max_pressure=438.333 | min_temperature=297.995 | max_temperature=451.793 | memory_usage.max=978.375
step.max=43 | t_sim.max=1.075e-05 | t_step.max=1.0957 | min_pressure=100 | max_pressure=438.585 | min_temperature=297.995 | max_temperature=451.975 | memory_usage.max=979.938
step.max=44 | t_sim.max=1.1e-05 | t_step.max=1.0964 | min_pressure=100 | max_pressure=438.883 | min_temperature=297.995 | max_temperature=452.181 | memory_usage.max=980.375
step.max=45 | t_sim.max=1.125e-05 | t_step.max=1.09605 | min_pressure=100 | max_pressure=439.219 | min_temperature=297.995 | max_temperature=452.379 | memory_usage.max=980.375
step.max=46 | t_sim.max=1.15e-05 | t_step.max=1.09618 | min_pressure=100 | max_pressure=439.599 | min_temperature=297.995 | max_temperature=452.571 | memory_usage.max=983.75
step.max=47 | t_sim.max=1.175e-05 | t_step.max=1.0958 | min_pressure=100 | max_pressure=440.02 | min_temperature=297.995 | max_temperature=452.756 | memory_usage.max=983.75
step.max=48 | t_sim.max=1.2e-05 | t_step.max=1.09484 | min_pressure=100 | max_pressure=440.457 | min_temperature=297.995 | max_temperature=452.973 | memory_usage.max=983.75
step.max=49 | t_sim.max=1.225e-05 | t_step.max=1.10209 | min_pressure=100 | max_pressure=440.947 | min_temperature=297.995 | max_temperature=453.186 | memory_usage.max=987.875
step.max=50 | t_sim.max=1.25e-05 | t_step.max=1.21468 | min_pressure=100 | max_pressure=441.448 | min_temperature=297.995 | max_temperature=453.392 | memory_usage.max=990.75
step.max=51 | t_sim.max=1.275e-05 | t_step.max=1.09647 | min_pressure=100 | max_pressure=441.964 | min_temperature=297.995 | max_temperature=453.591 | memory_usage.max=995.625
step.max=52 | t_sim.max=1.3e-05 | t_step.max=1.09625 | min_pressure=100 | max_pressure=442.541 | min_temperature=297.995 | max_temperature=453.783 | memory_usage.max=998.75
step.max=53 | t_sim.max=1.325e-05 | t_step.max=1.09422 | min_pressure=100 | max_pressure=443.1 | min_temperature=297.995 | max_temperature=453.988 | memory_usage.max=998.75
step.max=54 | t_sim.max=1.35e-05 | t_step.max=1.11028 | min_pressure=100 | max_pressure=443.666 | min_temperature=297.995 | max_temperature=454.21 | memory_usage.max=999.625
step.max=55 | t_sim.max=1.375e-05 | t_step.max=1.09767 | min_pressure=100 | max_pressure=444.31 | min_temperature=297.995 | max_temperature=454.424 | memory_usage.max=999.625
step.max=56 | t_sim.max=1.4e-05 | t_step.max=1.09804 | min_pressure=100 | max_pressure=444.934 | min_temperature=297.995 | max_temperature=454.63 | memory_usage.max=999.625
step.max=57 | t_sim.max=1.425e-05 | t_step.max=1.10021 | min_pressure=100 | max_pressure=445.539 | min_temperature=297.995 | max_temperature=454.83 | memory_usage.max=1003.56
step.max=58 | t_sim.max=1.45e-05 | t_step.max=1.09823 | min_pressure=100 | max_pressure=446.163 | min_temperature=297.995 | max_temperature=455.022 | memory_usage.max=1003.56
step.max=59 | t_sim.max=1.475e-05 | t_step.max=1.10114 | min_pressure=100 | max_pressure=446.86 | min_temperature=297.995 | max_temperature=455.207 | memory_usage.max=1003.56
step.max=60 | t_sim.max=1.5e-05 | t_step.max=1.1017 | min_pressure=100 | max_pressure=447.537 | min_temperature=297.995 | max_temperature=455.412 | memory_usage.max=1009.06
step.max=61 | t_sim.max=1.525e-05 | t_step.max=1.10149 | min_pressure=100 | max_pressure=448.193 | min_temperature=297.995 | max_temperature=455.626 | memory_usage.max=1009.06
step.max=62 | t_sim.max=1.55e-05 | t_step.max=1.09669 | min_pressure=100 | max_pressure=448.829 | min_temperature=297.995 | max_temperature=455.833 | memory_usage.max=1010.94
step.max=63 | t_sim.max=1.575e-05 | t_step.max=1.09933 | min_pressure=100 | max_pressure=449.479 | min_temperature=297.995 | max_temperature=456.032 | memory_usage.max=1012.44
step.max=64 | t_sim.max=1.6e-05 | t_step.max=1.09733 | min_pressure=100 | max_pressure=450.212 | min_temperature=297.995 | max_temperature=456.224 | memory_usage.max=1012.44
step.max=65 | t_sim.max=1.625e-05 | t_step.max=1.09723 | min_pressure=100 | max_pressure=450.924 | min_temperature=297.995 | max_temperature=456.408 | memory_usage.max=1012.44
step.max=66 | t_sim.max=1.65e-05 | t_step.max=1.09601 | min_pressure=100 | max_pressure=451.613 | min_temperature=297.995 | max_temperature=456.586 | memory_usage.max=1014.25
step.max=67 | t_sim.max=1.675e-05 | t_step.max=1.09578 | min_pressure=100 | max_pressure=452.283 | min_temperature=297.995 | max_temperature=456.757 | memory_usage.max=1014.25
step.max=68 | t_sim.max=1.7e-05 | t_step.max=1.09807 | min_pressure=100 | max_pressure=452.931 | min_temperature=297.995 | max_temperature=456.921 | memory_usage.max=1018.31
step.max=69 | t_sim.max=1.725e-05 | t_step.max=1.11214 | min_pressure=100 | max_pressure=453.56 | min_temperature=297.995 | max_temperature=457.12 | memory_usage.max=1020.38
step.max=70 | t_sim.max=1.75e-05 | t_step.max=1.10195 | min_pressure=100 | max_pressure=454.26 | min_temperature=297.995 | max_temperature=457.311 | memory_usage.max=1021.12
step.max=71 | t_sim.max=1.775e-05 | t_step.max=1.0957 | min_pressure=100 | max_pressure=454.985 | min_temperature=297.995 | max_temperature=457.495 | memory_usage.max=1023.06
step.max=72 | t_sim.max=1.8e-05 | t_step.max=1.09903 | min_pressure=100 | max_pressure=455.688 | min_temperature=297.995 | max_temperature=457.671 | memory_usage.max=1024.44
step.max=73 | t_sim.max=1.825e-05 | t_step.max=1.09715 | min_pressure=100 | max_pressure=456.369 | min_temperature=297.995 | max_temperature=457.841 | memory_usage.max=1024.44
step.max=74 | t_sim.max=1.85e-05 | t_step.max=1.09572 | min_pressure=100 | max_pressure=457.03 | min_temperature=297.995 | max_temperature=458.004 | memory_usage.max=1024.44
step.max=75 | t_sim.max=1.875e-05 | t_step.max=1.09621 | min_pressure=100 | max_pressure=457.67 | min_temperature=297.995 | max_temperature=458.16 | memory_usage.max=1028.12
step.max=76 | t_sim.max=1.9e-05 | t_step.max=1.09558 | min_pressure=100 | max_pressure=458.291 | min_temperature=297.995 | max_temperature=458.31 | memory_usage.max=1028.12
step.max=77 | t_sim.max=1.925e-05 | t_step.max=1.09494 | min_pressure=100 | max_pressure=458.893 | min_temperature=297.995 | max_temperature=458.453 | memory_usage.max=1032.06
step.max=78 | t_sim.max=1.95e-05 | t_step.max=1.0967 | min_pressure=100 | max_pressure=459.476 | min_temperature=297.995 | max_temperature=458.591 | memory_usage.max=1032.06
step.max=79 | t_sim.max=1.975e-05 | t_step.max=1.0946 | min_pressure=100 | max_pressure=460.153 | min_temperature=297.995 | max_temperature=458.728 | memory_usage.max=1035.94
step.max=80 | t_sim.max=2e-05 | t_step.max=1.09593 | min_pressure=100 | max_pressure=460.824 | min_temperature=297.995 | max_temperature=458.889 | memory_usage.max=1036.25
step.max=81 | t_sim.max=2.025e-05 | t_step.max=1.10149 | min_pressure=100 | max_pressure=461.474 | min_temperature=297.995 | max_temperature=459.043 | memory_usage.max=1037.5
step.max=82 | t_sim.max=2.05e-05 | t_step.max=1.09541 | min_pressure=100 | max_pressure=462.103 | min_temperature=297.995 | max_temperature=459.191 | memory_usage.max=1040.5
step.max=83 | t_sim.max=2.075e-05 | t_step.max=1.09675 | min_pressure=100 | max_pressure=462.714 | min_temperature=297.995 | max_temperature=459.332 | memory_usage.max=1040.88
step.max=84 | t_sim.max=2.1e-05 | t_step.max=1.09847 | min_pressure=100 | max_pressure=463.305 | min_temperature=297.995 | max_temperature=459.467 | memory_usage.max=1040.88
step.max=85 | t_sim.max=2.125e-05 | t_step.max=1.09656 | min_pressure=100 | max_pressure=463.878 | min_temperature=297.995 | max_temperature=459.596 | memory_usage.max=1044.12
step.max=86 | t_sim.max=2.15e-05 | t_step.max=1.09626 | min_pressure=100 | max_pressure=464.433 | min_temperature=297.995 | max_temperature=459.72 | memory_usage.max=1044.12
step.max=87 | t_sim.max=2.175e-05 | t_step.max=1.0967 | min_pressure=100 | max_pressure=464.97 | min_temperature=297.995 | max_temperature=459.837 | memory_usage.max=1047.38
step.max=88 | t_sim.max=2.2e-05 | t_step.max=1.09744 | min_pressure=100 | max_pressure=465.491 | min_temperature=297.995 | max_temperature=459.95 | memory_usage.max=1047.38
step.max=89 | t_sim.max=2.225e-05 | t_step.max=1.09578 | min_pressure=100 | max_pressure=465.994 | min_temperature=297.995 | max_temperature=460.057 | memory_usage.max=1051.38
step.max=90 | t_sim.max=2.25e-05 | t_step.max=1.09606 | min_pressure=100 | max_pressure=466.482 | min_temperature=297.995 | max_temperature=460.159 | memory_usage.max=1051.38
step.max=91 | t_sim.max=2.275e-05 | t_step.max=1.09678 | min_pressure=100 | max_pressure=467.03 | min_temperature=297.995 | max_temperature=460.256 | memory_usage.max=1051.38
step.max=92 | t_sim.max=2.3e-05 | t_step.max=1.09534 | min_pressure=100 | max_pressure=467.589 | min_temperature=297.995 | max_temperature=460.349 | memory_usage.max=1056.06
step.max=93 | t_sim.max=2.325e-05 | t_step.max=1.09535 | min_pressure=100 | max_pressure=468.131 | min_temperature=297.995 | max_temperature=460.443 | memory_usage.max=1056.5
step.max=94 | t_sim.max=2.35e-05 | t_step.max=1.09479 | min_pressure=100 | max_pressure=468.656 | min_temperature=297.995 | max_temperature=460.552 | memory_usage.max=1056.5
step.max=95 | t_sim.max=2.375e-05 | t_step.max=1.10249 | min_pressure=100 | max_pressure=469.163 | min_temperature=297.995 | max_temperature=460.656 | memory_usage.max=1059.69
step.max=96 | t_sim.max=2.4e-05 | t_step.max=1.0965 | min_pressure=100 | max_pressure=469.655 | min_temperature=297.995 | max_temperature=460.754 | memory_usage.max=1062.31
step.max=97 | t_sim.max=2.425e-05 | t_step.max=1.09655 | min_pressure=100 | max_pressure=470.131 | min_temperature=297.995 | max_temperature=460.848 | memory_usage.max=1062.31
step.max=98 | t_sim.max=2.45e-05 | t_step.max=1.09566 | min_pressure=100 | max_pressure=470.591 | min_temperature=297.995 | max_temperature=460.937 | memory_usage.max=1065.06
step.max=99 | t_sim.max=2.475e-05 | t_step.max=1.09819 | min_pressure=100 | max_pressure=471.036 | min_temperature=297.995 | max_temperature=461.021 | memory_usage.max=1065.06
step.max=100 | t_sim.max=2.5e-05 | t_step.max=1.21295 | min_pressure=100 | max_pressure=471.467 | min_temperature=297.995 | max_temperature=461.101 | memory_usage.max=1065.06
step.max=101 | t_sim.max=2.525e-05 | t_step.max=1.09501 | min_pressure=100 | max_pressure=471.884 | min_temperature=297.995 | max_temperature=461.177 | memory_usage.max=1073.75
step.max=102 | t_sim.max=2.55e-05 | t_step.max=1.09558 | min_pressure=100 | max_pressure=472.287 | min_temperature=297.995 | max_temperature=461.248 | memory_usage.max=1073.75
step.max=103 | t_sim.max=2.575e-05 | t_step.max=1.09556 | min_pressure=100 | max_pressure=472.678 | min_temperature=297.995 | max_temperature=461.316 | memory_usage.max=1073.75
step.max=104 | t_sim.max=2.6e-05 | t_step.max=1.09517 | min_pressure=100 | max_pressure=473.056 | min_temperature=297.995 | max_temperature=461.379 | memory_usage.max=1073.75
step.max=105 | t_sim.max=2.625e-05 | t_step.max=1.09507 | min_pressure=100 | max_pressure=473.421 | min_temperature=297.995 | max_temperature=461.439 | memory_usage.max=1077.75
step.max=106 | t_sim.max=2.65e-05 | t_step.max=1.09588 | min_pressure=100 | max_pressure=473.775 | min_temperature=297.995 | max_temperature=461.496 | memory_usage.max=1077.75
step.max=107 | t_sim.max=2.675e-05 | t_step.max=1.09709 | min_pressure=100 | max_pressure=474.117 | min_temperature=297.995 | max_temperature=461.549 | memory_usage.max=1081.88
step.max=108 | t_sim.max=2.7e-05 | t_step.max=1.09573 | min_pressure=100 | max_pressure=474.448 | min_temperature=297.995 | max_temperature=461.598 | memory_usage.max=1083.12
step.max=109 | t_sim.max=2.725e-05 | t_step.max=1.09707 | min_pressure=100 | max_pressure=474.784 | min_temperature=297.995 | max_temperature=461.645 | memory_usage.max=1084.25
step.max=110 | t_sim.max=2.75e-05 | t_step.max=1.09589 | min_pressure=100 | max_pressure=475.161 | min_temperature=297.995 | max_temperature=461.688 | memory_usage.max=1084.25
step.max=111 | t_sim.max=2.775e-05 | t_step.max=1.10165 | min_pressure=100 | max_pressure=475.526 | min_temperature=297.995 | max_temperature=461.729 | memory_usage.max=1088.12
step.max=112 | t_sim.max=2.8e-05 | t_step.max=1.09588 | min_pressure=100 | max_pressure=475.879 | min_temperature=297.995 | max_temperature=461.767 | memory_usage.max=1089.75
step.max=113 | t_sim.max=2.825e-05 | t_step.max=1.09617 | min_pressure=100 | max_pressure=476.219 | min_temperature=297.995 | max_temperature=461.814 | memory_usage.max=1089.75
step.max=114 | t_sim.max=2.85e-05 | t_step.max=1.11089 | min_pressure=100 | max_pressure=476.549 | min_temperature=297.995 | max_temperature=461.86 | memory_usage.max=1090.06
step.max=115 | t_sim.max=2.875e-05 | t_step.max=1.09834 | min_pressure=100 | max_pressure=476.867 | min_temperature=297.995 | max_temperature=461.902 | memory_usage.max=1090.88
step.max=116 | t_sim.max=2.9e-05 | t_step.max=1.09524 | min_pressure=100 | max_pressure=477.175 | min_temperature=297.995 | max_temperature=461.941 | memory_usage.max=1093.38
step.max=117 | t_sim.max=2.925e-05 | t_step.max=1.09593 | min_pressure=100 | max_pressure=477.472 | min_temperature=297.995 | max_temperature=461.978 | memory_usage.max=1093.38
step.max=118 | t_sim.max=2.95e-05 | t_step.max=1.09615 | min_pressure=100 | max_pressure=477.759 | min_temperature=297.995 | max_temperature=462.011 | memory_usage.max=1095.88
